(default),(per defecte)
(none),(cap)
abort,interromp
about,quant a
accept,accepta
account,compte
accounts,comptes
action,acció
actions,accions
activate,activa
active,actiu
add,afegeix
address,adreça
address book,llibreta d'adreces
advanced,avançat
advanced options,opcions avançades
afrikaans,afrikaans
after,després
albanian,albanès
algorithm,algorisme
alias,àlies
align,alinea
align left,alinea a l'esquerra
align right,alinea a la dreta
alignment,alineació
all,tot
all files,tots els fitxers
allow,permet
alpha,alfa
always,sempre
amount,quantitat
anchor,àncora
and,i
angle,angle
animation,animació
any,qualsevol
appearance,aparença
append,afegeix
application,aplicació
apply,aplica
april,abril
arabic,àrab
archive,arxiva
area,àrea
armenian,armeni
arrows,fletxes
artist,artista
ascending,ascendent
aspect ratio,relació d'aspecte
assamese,assamès
assign,assigna
attachments,adjuncions
attribute,atribut
attributes,atributs
audio,àudio
august,agost
authentication,autenticació
authentication required,cal autenticació
author,autor
authors,autors
auto,auto
automatic,automàtic
available,disponible
average,mitjana
back,enrere
background,fons
background color,color de fons
backspace,retrocés
basic,bàsic
basque,basc
before,abans
belarusian,bielorús
bengali,bengalí
beta,beta
binary,binari
bitmap,mapa de bits
black,negre
black  white,blanc i negre
blank,en blanc
blend,degradat
block,bloca
blue,blau
bold,negreta
bookmark,adreça d'interès
bookmarks,adreces d'interès
border,vora
border color,color de la vora
borders,vores
bosnian,bosnià
both,ambdós
bottom,inferior
breton,bretó
brightness,brillantor
browse,navega
bulgarian,búlgar
bullet,pic
bullets,pics
busy,ocupat
button,botó
by,per
bytes,bytes
calendar,calendari
camera,càmera
cancel,cancel·la
canceled,cancel·lada
canvas,llenç
caption,llegenda
case sensitive,distingeix entre majúscules i minúscules
catalan,català
categories,categories
category,categoria
cell,cel·la
center,centre
centered,centrat
certificates,certificats
change,canvia
change password,canvia la contrasenya
changes,canvis
channel,canal
channels,canals
chapter,capítol
character,caràcter
character set,joc de caràcters
chart,diagrama
chat,xat
check,comprova
check box,casella de selecció
check for updates,comprova si hi ha actualitzacions
check spelling,comprova l'ortografia
checked,activat
choose,tria
circle,cercle
city,ciutat
class,classe
clear,neteja
clear all,neteja-ho tot
clone,clona
close,tanca
close window,tanca la finestra
close without saving,tanca sense desar
collapse,redueix
color,color
colors,colors
column,columna
columns,columnes
combine,combina
combo box,quadre combinat
command,ordre
commands,ordres
comment,comentari
comments,comentaris
company,empresa
completed,completada
complex number,nombre complex
compression,compressió
condition,condició
configuration,configuració
configure,configura
confirm,confirmació
confirm password,confirmeu la contrasenya
connect,connecta
connected,connectat
connecting,s'està connectant
connection,connexió
connection failed,ha fallat la connexió
connector,connector
console,consola
contact,contacte
contacts,contactes
contains,conté
content,contingut
contents,continguts
context,context
continue,continua
contrast,contrast
control,control
controls,controls
convert,converteix
copy,copia
copy image,copia la imatge
copyright,copyright
cost,cost
count,compta
country,país
create,crea
created,creat
credits,crèdits
croatian,croat
crop,escapça
currency,moneda
custom,personalitzat
customize,personalitza
cut,retalla
cyan,cian
cylinder,cilindre
cyrillic,ciríl·lic
czech,txec
danish,danès
data,dades
data source,font de dades
database,base de dades
date,data
date and time,data i hora
day,dia
days,dies
debug,depuració
december,desembre
decrease indent,redueix el sagnat
default,per defecte
defaults,per defecte
definition,definició
degrees,graus
delay,retard
delete,suprimeix
delete all,suprimeix-ho tot
delete layer,suprimeix la capa
department,departament
descending,descendent
description,descripció
desktop,escriptori
destination,destinació
details,detalls
device,dispositiu
devices,dispositius
dialog,diàleg
difference,diferència
dimensions,dimensions
direction,direcció
directory,directori
disable,inhabilita
disabled,desactivat
disc,disc
discard,descarta
disconnect,desconnecta
display,visualització
display name,nom a mostrar
distribution,distribució
division,divisió
do nothing,no facis res
document,document
documentation,documentació
documents,documents
domain,domini
don't save,no desis
done,fet
double,doble
down,avall
download,baixa
downloading,s'està baixant
downloads,baixades
drawing,dibuix
duplicate,duplica
duration,durada
dutch,holandès
dzongkha,dzongkha
e-mail,correu electrònic
e-mail address,adreça electrònica
edit,edita
edit comment,edita el comentari
editor,editor
effect,efecte
effects,efectes
ellipse,el·lipse
email,correu electrònic
email address,adreça electrònica
empty,buit
enable,habilita
enabled,habilitat
encoding,codificació
end,final
end date,data final
enter password,introduïu la contrasenya
entries,entrades
entry,entrada
equation,equació
error,error
errors,errors
esc,esc
esperanto,esperanto
estonian,estonià
event,esdeveniment
events,esdeveniments
every,cada
example,exemple
examples,exemples
execute,executa
exit,surt
expand,amplia
export,exporta
extension,extensió
extensions,extensions
f4,f4
f5,f5
fade,esvaeix
failed,ha fallat
false,fals
fast,ràpida
fax,fax
february,febrer
field,camp
field name,nom del camp
fields,camps
file,fitxer
file format,format del fitxer
file name,nom del fitxer
