(default),(per defecte)
(none),(cap)
abort,interromp
aborted,interromput
about,quant a
accept,accepta
access,accés
accessibility,accessibilitat
account,compte
action,acció
actions,accions
activate,activa
active,actiu
add,afegeix
add bookmark,afegeix una adreça d'interès
add group,afegeix un grup
add new,afegeix
address,adreça
administration,administració
advanced,avançat
advanced options,opcions avançades
advanced search,cerca avançada
advanced settings,paràmetres avançats
afrikaans,afrikaans
after,després
albanian,albanès
album,àlbum
alias,àlies
align,alinea
align left,alinea a l'esquerra
align right,alinea a la dreta
alignment,alineació
all,tot
all files,tots els fitxers
allow,permet
alpha,alfa
always,sempre
amount,quantitat
anchor,àncora
and,i
angle,angle
anonymous,anònim
any,qualsevol
appearance,aparença
application,aplicació
applications,aplicacions
apply,aplica
april,abril
arabic,àrab
archive,arxiu
are you sure?,n'esteu segur?
area,àrea
argentina,argentina
armenian,armeni
artist,artista
ascending,ascendent
aspect ratio,relació d'aspecte
assamese,assamès
attachments,adjunts
attributes,atributs
audio,àudio
august,agost
australia,austràlia
austria,àustria
authentication,autenticació
author,autor
authors,autors
auto,auto
automatic,automàtic
available,disponible
average,mitjana
back,enrere
background,fons
background color,color de fons
basic,bàsic
basque,basc
bcc,cco
before,abans
belarusian,bielorús
belize,belize
bengali,bengalí
binary,binari
black,negre
blank,en blanc
block,bloc
blue,blau
bluetooth,bluetooth
body,cos
bold,negreta
bookmark,adreça d'interès
bookmarks,adreces d'interès
border,vora
borders,vores
bosnian,bosnià
both,ambdós
bottom,inferior
brazil,brasil
breton,bretó
brightness,brillantor
browse,navega
browser,navegador
bulgarian,búlgar
busy,ocupat
button,botó
by,per
bytes,bytes
cache,memòria cau
calendar,calendari
camera,càmera
canada,canadà
cancel,cancel·la
cancelled,cancel·lat
caption,llegenda
case sensitive,distingeix entre majúscules i minúscules
catalan,català
categories,categories
category,categoria
cc,cc
cell,cel·la
center,centre
centered,centrat
certificate,certificat
change,canvia
change password,canvia la contrasenya
channel,canal
channels,canals
character,caràcter
chat,xat
check,comprova
check for updates,comprova si hi ha actualitzacions
check spelling,comprova l'ortografia
chile,xile
chinese,xinès
choose,tria
circle,cercle
city,ciutat
class,classe
clear,neteja
clear all,neteja-ho tot
close,tanca
close tab,tanca la pestanya
close window,tanca la finestra
closed,tancat
code,codi
color,color
colors,colors
column,columna
columns,columnes
command,ordre
command line,línia d'ordres
commands,ordres
comment,comentari
comments,comentaris
company,empresa
completed,completada
condition,condició
configuration,configuració
configure,configura
confirm,confirma
confirm password,confirmeu la contrasenya
connect,connecta
connected,connectat
connecting,s'està connectant
connection,connexió
connection failed,ha fallat la connexió
console,consola
contact,contacte
contacts,contactes
contains,conté
content,contingut
contents,contingut
context,context
continue,continua
contrast,contrast
contributors,col·laboradors
convert,converteix
copy,copia
copy to clipboard,copia al porta-retalls
copyright,copyright
cost,cost
costa rica,costa rica
count,compta
country,país
create,crea
created,creat
credits,crèdits
croatian,croat
crop,escapça
current,actual
custom,personalitzat
customize,personalitza
cut,retalla
cyan,cian
cyrillic,ciríl·lic
czech,txec
daily,diàriament
danish,danès
data,dades
database,base de dades
database name,nom de la base de dades
date,data
date and time,data i hora
date format,format de data
day,dia
days,dies
debug,depuració
dec,des
december,desembre
decimal,decimal
decrease indent,redueix el sagnat
default,per defecte
default value,valor per defecte
defaults,per defecte
delay,retard
delete,suprimeix
delete all,suprimeix-ho tot
deleted,suprimit
deny,denega
descending,descendent
description,descripció
deselect all,desselecciona-ho tot
desktop,escriptori
destination,destinació
details,detalls
device,dispositiu
devices,dispositius
dialog,diàleg
dictionary,diccionari
dimensions,dimensions
direction,direcció
directory,directori
disable,inhabilita
disabled,desactivat
discard,descarta
disconnect,desconnecta
disconnected,desconnectat
display,pantalla
display name,nom a mostrar
display settings,paràmetres de visualització
distance,distància
djibouti,djibouti
do nothing,no facis res
document,document
documentation,documentació
documents,documents
domain,domini
done,fet
double,doble
down,avall
download,baixa
downloading,s'està baixant
downloads,baixades
duplicate,duplica
duration,durada
dutch,holandès
e-mail,correu electrònic
e-mail address,adreça electrònica
edit,edita
editor,editor
education,educació
effect,efecte
effects,efectes
email,correu electrònic
email address,adreça electrònica
empty,buit
enable,habilita
enabled,habilitat
encoding,codificació
encryption,encriptatge
end,final
end date,data final
enter,retorn
enter password,introduïu la contrasenya
entry,entrada
error,error
esc,esc
esperanto,esperanto
estonian,estonià
event,esdeveniment
events,esdeveniments
example,exemple
examples,exemples
execute,executa
exit,surt
expand,expandeix
export,exporta
extensions,extensions
failed,ha fallat
false,fals
fast,ràpida
favorites,preferits
fax,fax
feb,feb
february,febrer
field,camp
field name,nom del camp
fields,camps
file,fitxer
file manager,gestor de fitxers
file name,nom del fitxer
